[1, 2, 3, 4] ##	 [(0, 1), (0, 2), (0, 4), (0, 6), (1, 8), (1, 10), (2, 3), (2, 5), (2, 7), (5, 9), (5, 11)]
[1, 2, 3, 4] ##	 [(1, 2), (1, 12), (1, 6), (2, 8), (2, 4), (2, 5), (4, 9), (4, 11), (4, 7), (9, 10), (9, 13)]
[1, 2, 3, 4] ##	 [(0, 2), (0, 7), (0, 6), (0, 9), (2, 10), (2, 3), (2, 5), (7, 8), (7, 12), (10, 11), (10, 13)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 6), (0, 9), (1, 2), (1, 5), (2, 8), (2, 3), (3, 12), (3, 4), (5, 11), (5, 7), (9, 10), (9, 13)]
[1, 2, 3, 4] ##	 [(0, 11), (0, 1), (0, 5), (0, 9), (1, 2), (1, 6), (1, 7), (6, 8), (6, 12), (9, 10), (9, 13)]
[1, 2, 3, 4] ##	 [(0, 8), (0, 1), (0, 3), (0, 12), (3, 9), (3, 5), (4, 8), (6, 8), (6, 11), (6, 13), (8, 10), (8, 14)]
[1, 2, 3, 4] ##	 [(1, 2), (1, 4), (1, 5), (1, 8), (1, 9), (2, 11), (2, 10), (2, 3), (3, 13), (3, 6), (9, 12), (9, 14)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 6), (0, 9), (0, 12), (0, 15), (1, 3), (1, 4), (3, 5), (3, 7), (5, 8), (5, 13), (9, 10), (9, 14)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 2), (0, 4), (1, 3), (1, 5), (2, 8), (2, 13), (4, 6), (4, 7), (5, 12), (5, 14), (6, 9), (6, 11), (9, 10), (9, 15)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 2), (0, 3), (0, 6), (1, 9), (1, 11), (1, 4), (1, 5), (2, 8), (2, 12), (2, 7), (9, 10), (9, 13)]
[1, 2, 3, 4] ##	 [(0, 1), (1, 2), (1, 3), (1, 10), (1, 6), (3, 8), (3, 9), (3, 11), (3, 13), (6, 14), (6, 7), (9, 12), (9, 15)]
[1, 2, 3, 4] ##	 [(0, 11), (0, 1), (0, 4), (0, 15), (1, 2), (1, 6), (2, 8), (2, 14), (4, 5), (4, 13), (6, 10), (6, 9), (9, 16), (9, 12)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 2), (0, 6), (1, 3), (1, 5), (2, 10), (2, 4), (3, 11), (3, 14), (5, 8), (5, 12), (5, 13), (5, 7), (8, 9), (8, 15)]
[1, 2, 3, 4] ##	 [(0, 8), (0, 1), (0, 2), (0, 7), (1, 12), (1, 6), (2, 5), (2, 9), (2, 10), (2, 14), (5, 11), (5, 13)]
[1, 2, 3, 4] ##	 [(0, 2), (0, 5), (0, 8), (0, 9), (5, 10), (5, 13), (5, 7), (8, 11), (8, 14), (10, 12), (10, 15)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 4), (0, 6), (0, 9), (1, 8), (1, 2), (1, 3), (1, 7), (4, 5), (4, 14), (8, 10), (8, 11), (10, 12), (10, 13)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 14), (0, 9), (1, 2), (1, 4), (2, 3), (2, 8), (2, 13), (2, 17), (3, 6), (3, 15), (4, 5), (4, 7), (7, 16), (7, 11)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 10), (0, 3), (0, 4), (0, 12), (1, 2), (1, 14), (4, 5), (4, 6), (4, 7), (4, 8), (4, 11), (7, 9), (7, 13)]
[1, 2, 3, 4] ##	 [(0, 8), (0, 11), (0, 14), (2, 8), (2, 4), (2, 13), (3, 8), (3, 12), (3, 6), (4, 10), (4, 15), (6, 16), (6, 7), (8, 9), (8, 17)]
[1, 2, 3, 4] ##	 [(0, 8), (0, 1), (0, 2), (1, 12), (1, 5), (1, 14), (2, 4), (2, 6), (5, 10), (5, 13), (5, 9), (9, 11), (9, 15)]
[1, 2, 3, 4] ##	 [(0, 2), (0, 8), (0, 13), (0, 15), (2, 12), (2, 14), (8, 9), (8, 11), (8, 16), (9, 17), (9, 10)]
[1, 2, 3, 4] ##	 [(1, 9), (1, 3), (1, 11), (1, 7), (3, 4), (3, 5), (5, 14), (5, 6), (7, 8), (7, 13), (8, 15), (8, 12), (9, 16), (9, 10)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 11), (0, 5), (0, 15), (1, 8), (1, 3), (3, 10), (3, 4), (3, 6), (4, 12), (4, 13), (5, 9), (5, 14)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 2), (0, 13), (0, 14), (1, 9), (1, 11), (1, 6), (2, 3), (2, 5), (6, 8), (6, 12), (6, 7)]
[1, 2, 3, 4, 5] ##	 [(0, 1), (0, 2), (0, 5), (1, 12), (1, 11), (1, 15), (2, 3), (2, 6), (6, 8), (6, 9), (6, 10), (8, 16), (8, 13), (12, 14), (12, 17)]
[1, 2, 3, 4] ##	 [(0, 1), (1, 6), (1, 9), (1, 14), (1, 18), (5, 15), (5, 9), (5, 7), (6, 8), (6, 16), (9, 17), (9, 10)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (2, 13), (2, 7), (3, 9), (3, 12), (4, 8), (4, 5), (8, 10), (8, 11), (9, 14), (9, 15)]
[1, 2, 3, 4] ##	 [(0, 1), (0, 5), (0, 9), (1, 2), (1, 11), (1, 4), (2, 10), (2, 3), (3, 8), (3, 12), (12, 15), (12, 13), (12, 14)]
